genre,avg_metascore,avg_user_score,num_games
Trainer RPG,74.95384615384616,7.443999996185303,205
Metroidvania,78.75,7.366129051293096,848
Soccer,65.76271186440678,7.289655216808977,431
Cricket,71.22222222222223,7.278260894443678,110
Visual Novel,74.18686868686869,7.266016737436019,10195
Compilation,73.51244813278008,7.262316733249122,4542
JRPG,73.68905950095969,7.257012209514293,2995
Real-Time Tactics,73.96,7.1945652391599575,386
Command RTS,69.71698113207547,7.179104484728913,408
Rail Shooter,67.27868852459017,7.1704545779661695,378
Surfing,70.11111111111111,7.150000095367432,45
Artillery,70.1470588235294,7.1342105489028125,118
Demo Disc,,7.133333524068196,392
Future Racing,69.21505376344086,7.095402301042929,428
Horizontal Shoot-'Em-Up,73.5037037037037,7.091970797002751,1078
RPG,69.36018957345972,7.061818207393993,2145
4X Strategy,76.64285714285714,7.058928564190865,382
Real-Time Strategy,70.42516268980478,7.038721140388062,1784
Turn-Based Strategy,69.48858447488584,7.03520000743866,1314
Point-and-Click,72.60626029654036,6.999027963976669,2425
2D Platformer,70.91277041172366,6.998088799224094,10400
Turn-Based Tactics,72.95421686746988,6.983940071926893,1847
3D Beat-'Em-Up,62.4593837535014,6.979901977029502,908
Marine Combat Sim,70.9090909090909,6.96666665871938,127
Linear Action Adventure,70.70704225352112,6.954698828185897,787
Rhythm,73.03809523809524,6.952255659981778,1388
Logic Puzzle,67.74666666666667,6.937878786614447,1671
Roguelike,71.3804347826087,6.934482779996149,538
3D Platformer,67.19266055045871,6.915458295071337,2472
Space Combat Sim,70.01052631578948,6.906542076128665,475
Action RPG,71.29503676470588,6.902980641008045,2950
3D Fighting,65.87654320987654,6.878136219089604,883
Strategy,69.01357466063348,6.868438556740847,3309
Sandbox,74.53465346534654,6.861445836992149,742
Western RPG,73.29666666666667,6.859038919278632,768
Management,72.32786885245902,6.840689652541588,653
2D Fighting,72.54166666666667,6.811516859558191,1628
Adventure,70.91407407407408,6.810798144676316,12089
Skiing,70.76363636363637,6.784210506238435,249
Third-Person Adventure,70.50625,6.774509823622823,1126
Open-World Action,72.92796610169492,6.774248498236249,1916
Action Adventure,68.04673495518566,6.762720865797519,4491
Action Puzzle,71.04298642533936,6.758780507343571,3645
Survival,67.91071428571429,6.744284142218075,3285
Vertical Shoot-'Em-Up,68.82608695652173,6.717894756166559,1903
Stacking Puzzle,72.5,6.716000032424927,427
Defense,71.05982905982906,6.711724148125484,1436
Top-Down Shoot-'Em-Up,68.61581920903954,6.695354538908215,3939
Dancing,68.54444444444445,6.693975911082991,314
2D Beat-'Em-Up,66.52845528455285,6.679323318981586,1086
Tennis,67.01298701298701,6.661194032697535,260
Aircraft Combat Sim,67.13450292397661,6.659440578280629,792
FPS,70.73319755600815,6.613426589142609,4327
Auto Racing,67.19597989949749,6.5960199202273415,2550
Puzzle,68.83141762452107,6.595689678500438,5370
Application,67.91666666666667,6.570588231086731,527
Third Person Shooter,64.29466357308584,6.5682608761217285,1463
Exercise,69.12,6.567857129233224,157
Hidden Object,63.65625,6.529787276653534,2822
Vehicle Combat Sim,65.72727272727273,6.522500004246831,720
Card Battle,73.10897435897436,6.512953377758283,940
First-Person Adventure,68.68287037037037,6.497385644177401,3743
Auto Racing Sim,71.6923076923077,6.488729891175661,1460
Tycoon,68.53725490196078,6.485664360173098,1931
Team Sports,67.94117647058823,6.4647058318643005,116
Volleyball,59.875,6.462500095367432,84
Pinball,76.37647058823529,6.447126450894893,669
Wrestling,67.20535714285714,6.43553722397355,292
Soccer Management,75.06451612903226,6.4312500432133675,278
Action,62.67718446601942,6.414822142939323,7032
Skating,73.17525773195877,6.411494255922307,181
Matching Puzzle,70.92913385826772,6.403174624083534,2075
Virtual Pet,66.375,6.395833323399226,352
Simulation,66.98,6.392207810631046,877
Hockey,69.38461538461539,6.390909151597456,63
Light Gun,64.35106382978724,6.369306943794288,991
Party,61.462406015037594,6.355681834798871,1794
Athletics,56.96296296296296,6.352380990982056,190
Text Adventure,73.0,6.342307714315561,608
Virtual Career,65.38011695906432,6.338756003163078,1420
Miscellaneous,67.6842105263158,6.333333349890179,1410
Edutainment,62.13333333333333,6.287037037037037,2853
Golf,69.42,6.2860000443458555,301
Arcade Racing,62.15862068965517,6.279699259794745,621
MOBA,71.66666666666667,6.272580617858518,204
Future Sport,68.0,6.2722223202387495,96
Combat Sport,70.07317073170732,6.251666669050852,226
Arcade,69.57142857142857,6.226257011877092,3109
Racing,60.6,6.220000004768371,117
Baseball Sim,75.89430894308943,6.207692349874057,382
Tactical Third Person Shooter,69.40517241379311,6.16558442100302,346
Sports,57.8235294117647,6.156250007450581,197
MMORPG,74.14054054054054,6.145000006920761,1240
Board,67.56296296296296,6.137820531924565,3206
Virtual Life,69.75862068965517,6.136036046990403,1305
Fishing,55.891891891891895,6.109375,347
Biking,63.63636363636363,6.108571437426976,144
Vehicle Sim,65.79310344827586,6.055769283037919,528
Football,67.11111111111111,6.0428572070030935,176
Baseball,66.57777777777778,6.015384580844488,281
Train Sim,71.46153846153847,5.995833347241084,260
Individual Sports,55.7,5.988888886239794,340
Aircraft Sim,68.23076923076923,5.978378379667127,650
Bowling,45.15,5.933333337306976,157
Tactical FPS,72.08421052631579,5.877061876132316,815
Trivia,60.50909090909091,5.8413793095226945,821
Hockey Sim,76.53333333333333,5.838157887521543,157
Space Sim,69.5625,5.808695632478465,160
Basketball,62.743589743589745,5.779487181932498,165
Marine Sim,64.0,5.600000023841858,81
Golf Sim,75.3,5.557692312277281,255
Soccer Sim,77.81428571428572,5.511200008034706,546
Billiards,62.592592592592595,5.485000002384186,248
Gambling,56.87179487179487,5.355555574099223,1040
Football Sim,77.375,5.2659864113444375,338
Hunting,56.89655172413793,5.215555572509766,299
Basketball Sim,74.98159509202453,5.173109264058225,317
Rugby,54.55555555555556,5.024000005722046,105
Horse Racing,59.166666666666664,4.759999990463257,301
